x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
   62.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000029,       0.000033,       0.000033,      -0.000024,      -0.000489,      -0.005563,      -0.090250,
   62.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000029,       0.000032,       0.000035,      -0.000012,      -0.000396,      -0.004450,      -0.068982,
   63.000000,       0.000003,       0.000010,       0.000017,       0.000021,       0.000029,       0.000032,       0.000037,      -0.000002,      -0.000320,      -0.003564,      -0.052966,
   63.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000029,       0.000032,       0.000037,       0.000004,      -0.000256,      -0.002867,      -0.040853,
   64.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000029,       0.000032,       0.000038,       0.000011,      -0.000203,      -0.002311,      -0.031657,
   64.500000,       0.000003,       0.000010,       0.000017,       0.000021,       0.000028,       0.000033,       0.000039,       0.000018,      -0.000161,      -0.001864,      -0.024644,
   65.000000,       0.000003,       0.000010,       0.000017,       0.000021,       0.000028,       0.000033,       0.000039,       0.000021,      -0.000126,      -0.001503,      -0.019266,
   65.500000,       0.000003,       0.000010,       0.000017,       0.000021,       0.000028,       0.000033,       0.000040,       0.000027,      -0.000097,      -0.001216,      -0.015123,
   66.000000,       0.000003,       0.000010,       0.000017,       0.000022,       0.000028,       0.000032,       0.000040,       0.000028,      -0.000071,      -0.000982,      -0.011924,
   66.500000,       0.000003,       0.000010,       0.000017,       0.000022,       0.000028,       0.000033,       0.000040,       0.000033,      -0.000054,      -0.000793,      -0.009431,
   67.000000,       0.000003,       0.000010,       0.000017,       0.000022,       0.000027,       0.000033,       0.000040,       0.000038,      -0.000036,      -0.000637,      -0.007486,
   67.500000,       0.000003,       0.000010,       0.000017,       0.000022,       0.000028,       0.000033,       0.000040,       0.000037,      -0.000020,      -0.000515,      -0.005958,
   68.000000,       0.000003,       0.000010,       0.000017,       0.000022,       0.000028,       0.000033,       0.000040,       0.000041,      -0.000008,      -0.000412,      -0.004759,
   68.500000,       0.000003,       0.000010,       0.000017,       0.000022,       0.000027,       0.000034,       0.000040,       0.000042,       0.000004,      -0.000334,      -0.003809,
   69.000000,       0.000003,       0.000010,       0.000017,       0.000022,       0.000027,       0.000033,       0.000041,       0.000043,       0.000011,      -0.000266,      -0.003056,
   69.500000,       0.000003,       0.000010,       0.000017,       0.000022,       0.000027,       0.000034,       0.000041,       0.000044,       0.000018,      -0.000210,      -0.002463,
   70.000000,       0.000003,       0.000010,       0.000017,       0.000021,       0.000028,       0.000034,       0.000042,       0.000046,       0.000025,      -0.000164,      -0.001985,
   70.500000,       0.000003,       0.000010,       0.000017,       0.000021,       0.000028,       0.000034,       0.000041,       0.000046,       0.000029,      -0.000129,      -0.001601,
   71.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000035,       0.000041,       0.000047,       0.000034,      -0.000098,      -0.001290,
   71.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000028,       0.000035,       0.000041,       0.000049,       0.000037,      -0.000072,      -0.001038,
   72.000000,       0.000003,       0.000010,       0.000017,       0.000021,       0.000028,       0.000035,       0.000041,       0.000050,       0.000042,      -0.000049,      -0.000838,
   72.500000,       0.000003,       0.000010,       0.000017,       0.000021,       0.000028,       0.000036,       0.000041,       0.000051,       0.000046,      -0.000033,      -0.000674,
   73.000000,       0.000003,       0.000010,       0.000017,       0.000021,       0.000029,       0.000036,       0.000041,       0.000052,       0.000049,      -0.000016,      -0.000542,
   73.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000030,       0.000037,       0.000042,       0.000052,       0.000053,      -0.000003,      -0.000434,
   74.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000029,       0.000037,       0.000042,       0.000052,       0.000054,       0.000008,      -0.000347,
   74.500000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000030,       0.000037,       0.000042,       0.000053,       0.000054,       0.000017,      -0.000275,
   75.000000,       0.000003,       0.000010,       0.000017,       0.000020,       0.000030,       0.000037,       0.000042,       0.000053,       0.000055,       0.000025,      -0.000217,
   75.500000,       0.000003,       0.000010,       0.000017,       0.000021,       0.000030,       0.000037,       0.000043,       0.000053,       0.000055,       0.000032,      -0.000169,
   76.000000,       0.000003,       0.000010,       0.000017,       0.000022,       0.000031,       0.000038,       0.000044,       0.000054,       0.000057,       0.000039,      -0.000130,
   76.500000,       0.000003,       0.000010,       0.000017,       0.000023,       0.000031,       0.000039,       0.000044,       0.000054,       0.000058,       0.000041,      -0.000098,
   77.000000,       0.000003,       0.000010,       0.000017,       0.000023,       0.000031,       0.000038,       0.000045,       0.000054,       0.000059,       0.000046,      -0.000070,
   77.500000,       0.000003,       0.000010,       0.000017,       0.000024,       0.000031,       0.000038,       0.000046,       0.000054,       0.000061,       0.000051,      -0.000045,
   78.000000,       0.000003,       0.000010,       0.000018,       0.000024,       0.000031,       0.000038,       0.000047,       0.000055,       0.000062,       0.000055,      -0.000030,
   78.500000,       0.000003,       0.000010,       0.000018,       0.000025,       0.000031,       0.000037,       0.000048,       0.000055,       0.000063,       0.000057,      -0.000011,
   79.000000,       0.000003,       0.000010,       0.000018,       0.000025,       0.000032,       0.000038,       0.000049,       0.000054,       0.000063,       0.000060,       0.000002,
   79.500000,       0.000003,       0.000010,       0.000018,       0.000025,       0.000032,       0.000038,       0.000049,       0.000054,       0.000062,       0.000062,       0.000014,
   80.000000,       0.000003,       0.000010,       0.000018,       0.000026,       0.000032,       0.000039,       0.000048,       0.000053,       0.000064,       0.000063,       0.000022,
   80.500000,       0.000003,       0.000010,       0.000018,       0.000027,       0.000033,       0.000039,       0.000047,       0.000055,       0.000063,       0.000063,       0.000029,
   81.000000,       0.000003,       0.000010,       0.000018,       0.000027,       0.000032,       0.000039,       0.000048,       0.000055,       0.000061,       0.000066,       0.000037,
   81.500000,       0.000003,       0.000010,       0.000018,       0.000027,       0.000033,       0.000039,       0.000048,       0.000056,       0.000061,       0.000069,       0.000044,
   82.000000,       0.000003,       0.000010,       0.000018,       0.000027,       0.000033,       0.000039,       0.000048,       0.000056,       0.000062,       0.000070,       0.000047,
   82.500000,       0.000003,       0.000010,       0.000017,       0.000026,       0.000033,       0.000040,       0.000048,       0.000056,       0.000063,       0.000068,       0.000053,
   83.000000,       0.000003,       0.000010,       0.000017,       0.000026,       0.000032,       0.000040,       0.000049,       0.000056,       0.000063,       0.000069,       0.000057,
   83.500000,       0.000003,       0.000009,       0.000017,       0.000026,       0.000033,       0.000039,       0.000049,       0.000057,       0.000065,       0.000070,       0.000059,
   84.000000,       0.000003,       0.000010,       0.000017,       0.000026,       0.000032,       0.000039,       0.000048,       0.000057,       0.000065,       0.000070,       0.000061,
   84.500000,       0.000003,       0.000010,       0.000017,       0.000026,       0.000033,       0.000039,       0.000049,       0.000057,       0.000064,       0.000070,       0.000060,
